has_ligand,n_bonds,bond_C01-NZ,bond_C-N1,bond_C2-SG,n01_catcys_sg,n01_nearest_cys,n01_nearest_cys_d,catcys_is_nearest,in_attack_range,thio_species,thio_c_s,thio_planarity,thio_has_oxt,n01_thio_c,iface_res_8A,chains,job,sample,model,iptm,ptm,ranking_score,nearest_lys_nz_d,nearest_lys_resi,bond_C-N01,bond_C2-N01,job_base,is_seed,sample_id
True,2,0.818,,,3.281,B/91,3.281,True,True,,,,,,9,A:96;B:151;L:1;U:76,sumo2_k11_product_ube2w,seed-9_sample-3,sumo2_k11_product_ube2w/seed-9_sample-3/model.cif,0.54,0.69,0.59,,,1.018,,sumo2_k11_product_ube2w,True,seed-9_sample-3
True,2,0.863,,,3.863,B/91,3.863,True,True,,,,,,6,A:96;B:151;L:1;U:76,sumo2_k11_product_ube2w,seed-9_sample-4,sumo2_k11_product_ube2w/seed-9_sample-4/model.cif,0.55,0.69,0.61,,,0.981,,sumo2_k11_product_ube2w,True,seed-9_sample-4
True,4,0.931,1.292,1.791,2.613,B/91,2.613,True,True,UBGT,1.791,329.6,False,1.45,7,A:96;B:151;G:1;L:1;U:74,sumo2_k11_tetrahedral_ube2w,seed-10_sample-0,sumo2_k11_tetrahedral_ube2w/seed-10_sample-0/model.cif,0.63,0.74,0.68,,,,1.45,sumo2_k11_tetrahedral_ube2w,True,seed-10_sample-0
True,4,0.896,1.387,1.794,2.653,B/91,2.653,True,True,UBGT,1.794,328.6,False,1.445,5,A:96;B:151;G:1;L:1;U:74,sumo2_k11_tetrahedral_ube2w,seed-10_sample-1,sumo2_k11_tetrahedral_ube2w/seed-10_sample-1/model.cif,0.62,0.73,0.67,,,,1.445,sumo2_k11_tetrahedral_ube2w,True,seed-10_sample-1
True,4,0.859,1.412,1.792,2.621,B/91,2.621,True,True,UBGT,1.792,329.0,False,1.428,9,A:96;B:151;G:1;L:1;U:74,sumo2_k11_tetrahedral_ube2w,seed-10_sample-2,sumo2_k11_tetrahedral_ube2w/seed-10_sample-2/model.cif,0.63,0.73,0.68,,,,1.428,sumo2_k11_tetrahedral_ube2w,True,seed-10_sample-2
True,4,1.114,1.085,1.783,2.601,B/91,2.601,True,True,UBGT,1.783,328.6,False,1.478,7,A:96;B:151;G:1;L:1;U:74,sumo2_k11_tetrahedral_ube2w,seed-10_sample-3,sumo2_k11_tetrahedral_ube2w/seed-10_sample-3/model.cif,0.59,0.7,0.64,,,,1.478,sumo2_k11_tetrahedral_ube2w,True,seed-10_sample-3
True,4,0.893,1.252,1.796,2.636,B/91,2.636,True,True,UBGT,1.796,329.2,False,1.452,9,A:96;B:151;G:1;L:1;U:74,sumo2_k11_tetrahedral_ube2w,seed-10_sample-4,sumo2_k11_tetrahedral_ube2w/seed-10_sample-4/model.cif,0.63,0.73,0.68,,,,1.452,sumo2_k11_tetrahedral_ube2w,True,seed-10_sample-4
True,4,1.105,1.263,1.822,2.743,B/91,2.743,True,True,UBGT,1.822,328.4,False,1.519,9,A:96;B:151;G:1;L:1;U:74,sumo2_k11_tetrahedral_ube2w,seed-11_sample-0,sumo2_k11_tetrahedral_ube2w/seed-11_sample-0/model.cif,0.63,0.74,0.67,,,,1.519,sumo2_k11_tetrahedral_ube2w,True,seed-11_sample-0
True,4,0.88,1.183,1.789,2.652,B/91,2.652,True,True,UBGT,1.789,328.5,False,1.445,12,A:96;B:151;G:1;L:1;U:74,sumo2_k11_tetrahedral_ube2w,seed-11_sample-1,sumo2_k11_tetrahedral_ube2w/seed-11_sample-1/model.cif,0.59,0.71,0.64,,,,1.445,sumo2_k11_tetrahedral_ube2w,True,seed-11_sample-1
True,4,0.924,1.226,1.789,2.647,B/91,2.647,True,True,UBGT,1.789,328.3,False,1.464,11,A:96;B:151;G:1;L:1;U:74,sumo2_k11_tetrahedral_ube2w,seed-11_sample-2,sumo2_k11_tetrahedral_ube2w/seed-11_sample-2/model.cif,0.6,0.73,0.65,,,,1.464,sumo2_k11_tetrahedral_ube2w,True,seed-11_sample-2
True,4,0.928,1.24,1.8,2.693,B/91,2.693,True,True,UBGT,1.8,327.5,False,1.466,9,A:96;B:151;G:1;L:1;U:74,sumo2_k11_tetrahedral_ube2w,seed-11_sample-3,sumo2_k11_tetrahedral_ube2w/seed-11_sample-3/model.cif,0.6,0.72,0.65,,,,1.466,sumo2_k11_tetrahedral_ube2w,True,seed-11_sample-3
True,4,0.921,1.166,1.785,2.696,B/91,2.696,True,True,UBGT,1.785,327.4,False,1.466,5,A:96;B:151;G:1;L:1;U:74,sumo2_k11_tetrahedral_ube2w,seed-11_sample-4,sumo2_k11_tetrahedral_ube2w/seed-11_sample-4/model.cif,0.58,0.71,0.64,,,,1.466,sumo2_k11_tetrahedral_ube2w,True,seed-11_sample-4
True,4,0.876,1.224,1.782,2.641,B/91,2.641,True,True,UBGT,1.782,329.6,False,1.443,7,A:96;B:151;G:1;L:1;U:74,sumo2_k11_tetrahedral_ube2w,seed-12_sample-0,sumo2_k11_tetrahedral_ube2w/seed-12_sample-0/model.cif,0.6,0.71,0.64,,,,1.443,sumo2_k11_tetrahedral_ube2w,True,seed-12_sample-0
True,4,0.921,1.293,1.784,2.675,B/91,2.675,True,True,UBGT,1.784,327.0,False,1.463,11,A:96;B:151;G:1;L:1;U:74,sumo2_k11_tetrahedral_ube2w,seed-12_sample-1,sumo2_k11_tetrahedral_ube2w/seed-12_sample-1/model.cif,0.6,0.72,0.65,,,,1.463,sumo2_k11_tetrahedral_ube2w,True,seed-12_sample-1
True,4,0.925,1.304,1.776,2.671,B/91,2.671,True,True,UBGT,1.776,328.1,False,1.471,12,A:96;B:151;G:1;L:1;U:74,sumo2_k11_tetrahedral_ube2w,seed-12_sample-2,sumo2_k11_tetrahedral_ube2w/seed-12_sample-2/model.cif,0.63,0.75,0.67,,,,1.471,sumo2_k11_tetrahedral_ube2w,True,seed-12_sample-2
True,4,1.094,1.267,1.816,2.781,B/91,2.781,True,True,UBGT,1.816,329.5,False,1.51,17,A:96;B:151;G:1;L:1;U:74,sumo2_k11_tetrahedral_ube2w,seed-12_sample-3,sumo2_k11_tetrahedral_ube2w/seed-12_sample-3/model.cif,0.66,0.77,0.7,,,,1.51,sumo2_k11_tetrahedral_ube2w,True,seed-12_sample-3
True,4,0.919,1.263,1.787,2.644,B/91,2.644,True,True,UBGT,1.787,328.9,False,1.462,5,A:96;B:151;G:1;L:1;U:74,sumo2_k11_tetrahedral_ube2w,seed-12_sample-4,sumo2_k11_tetrahedral_ube2w/seed-12_sample-4/model.cif,0.6,0.72,0.65,,,,1.462,sumo2_k11_tetrahedral_ube2w,True,seed-12_sample-4
True,4,1.006,1.333,1.804,2.589,B/91,2.589,True,True,UBGT,1.804,328.7,False,1.473,9,A:96;B:151;G:1;L:1;U:74,sumo2_k11_tetrahedral_ube2w,seed-13_sample-0,sumo2_k11_tetrahedral_ube2w/seed-13_sample-0/model.cif,0.63,0.73,0.68,,,,1.473,sumo2_k11_tetrahedral_ube2w,True,seed-13_sample-0
True,4,0.929,1.236,1.792,2.615,B/91,2.615,True,True,UBGT,1.792,329.9,False,1.479,6,A:96;B:151;G:1;L:1;U:74,sumo2_k11_tetrahedral_ube2w,seed-13_sample-1,sumo2_k11_tetrahedral_ube2w/seed-13_sample-1/model.cif,0.61,0.72,0.66,,,,1.479,sumo2_k11_tetrahedral_ube2w,True,seed-13_sample-1
True,4,0.924,1.197,1.789,2.627,B/91,2.627,True,True,UBGT,1.789,329.2,False,1.46,8,A:96;B:151;G:1;L:1;U:74,sumo2_k11_tetrahedral_ube2w,seed-13_sample-2,sumo2_k11_tetrahedral_ube2w/seed-13_sample-2/model.cif,0.61,0.72,0.67,,,,1.46,sumo2_k11_tetrahedral_ube2w,True,seed-13_sample-2
True,4,0.939,1.338,1.802,2.599,B/91,2.599,True,True,UBGT,1.802,330.0,False,1.465,10,A:96;B:151;G:1;L:1;U:74,sumo2_k11_tetrahedral_ube2w,seed-13_sample-3,sumo2_k11_tetrahedral_ube2w/seed-13_sample-3/model.cif,0.63,0.73,0.69,,,,1.465,sumo2_k11_tetrahedral_ube2w,True,seed-13_sample-3
True,4,0.965,1.439,1.822,2.637,B/91,2.637,True,True,UBGT,1.822,328.5,False,1.465,7,A:96;B:151;G:1;L:1;U:74,sumo2_k11_tetrahedral_ube2w,seed-13_sample-4,sumo2_k11_tetrahedral_ube2w/seed-13_sample-4/model.cif,0.62,0.72,0.67,,,,1.465,sumo2_k11_tetrahedral_ube2w,True,seed-13_sample-4
True,4,0.992,1.241,1.797,2.578,B/91,2.578,True,True,UBGT,1.797,328.6,False,1.456,6,A:96;B:151;G:1;L:1;U:74,sumo2_k11_tetrahedral_ube2w,seed-14_sample-0,sumo2_k11_tetrahedral_ube2w/seed-14_sample-0/model.cif,0.61,0.72,0.66,,,,1.456,sumo2_k11_tetrahedral_ube2w,True,seed-14_sample-0
True,4,0.994,1.29,1.81,2.607,B/91,2.607,True,True,UBGT,1.81,329.4,False,1.446,8,A:96;B:151;G:1;L:1;U:74,sumo2_k11_tetrahedral_ube2w,seed-14_sample-1,sumo2_k11_tetrahedral_ube2w/seed-14_sample-1/model.cif,0.61,0.72,0.67,,,,1.446,sumo2_k11_tetrahedral_ube2w,True,seed-14_sample-1
True,4,1.008,1.172,1.779,2.552,B/91,2.552,True,True,UBGT,1.779,329.0,False,1.453,7,A:96;B:151;G:1;L:1;U:74,sumo2_k11_tetrahedral_ube2w,seed-14_sample-2,sumo2_k11_tetrahedral_ube2w/seed-14_sample-2/model.cif,0.61,0.73,0.66,,,,1.453,sumo2_k11_tetrahedral_ube2w,True,seed-14_sample-2
True,4,1.12,1.411,1.81,2.645,B/91,2.645,True,True,UBGT,1.81,328.2,False,1.499,14,A:96;B:151;G:1;L:1;U:74,sumo2_k11_tetrahedral_ube2w,seed-14_sample-3,sumo2_k11_tetrahedral_ube2w/seed-14_sample-3/model.cif,0.64,0.74,0.68,,,,1.499,sumo2_k11_tetrahedral_ube2w,True,seed-14_sample-3
True,4,0.996,1.356,1.817,2.614,B/91,2.614,True,True,UBGT,1.817,328.8,False,1.458,9,A:96;B:151;G:1;L:1;U:74,sumo2_k11_tetrahedral_ube2w,seed-14_sample-4,sumo2_k11_tetrahedral_ube2w/seed-14_sample-4/model.cif,0.63,0.73,0.68,,,,1.458,sumo2_k11_tetrahedral_ube2w,True,seed-14_sample-4
True,4,0.948,1.253,1.797,2.631,B/91,2.631,True,True,UBGT,1.797,329.5,False,1.478,8,A:96;B:151;G:1;L:1;U:74,sumo2_k11_tetrahedral_ube2w,seed-15_sample-0,sumo2_k11_tetrahedral_ube2w/seed-15_sample-0/model.cif,0.6,0.71,0.64,,,,1.478,sumo2_k11_tetrahedral_ube2w,True,seed-15_sample-0
True,4,0.986,1.195,1.796,2.625,B/91,2.625,True,True,UBGT,1.796,328.1,False,1.466,6,A:96;B:151;G:1;L:1;U:74,sumo2_k11_tetrahedral_ube2w,seed-15_sample-1,sumo2_k11_tetrahedral_ube2w/seed-15_sample-1/model.cif,0.59,0.71,0.64,,,,1.466,sumo2_k11_tetrahedral_ube2w,True,seed-15_sample-1
True,4,0.971,1.207,1.806,2.615,B/91,2.615,True,True,UBGT,1.806,329.3,False,1.474,8,A:96;B:151;G:1;L:1;U:74,sumo2_k11_tetrahedral_ube2w,seed-15_sample-2,sumo2_k11_tetrahedral_ube2w/seed-15_sample-2/model.cif,0.59,0.71,0.63,,,,1.474,sumo2_k11_tetrahedral_ube2w,True,seed-15_sample-2
True,4,0.91,1.164,1.791,2.618,B/91,2.618,True,True,UBGT,1.791,328.3,False,1.467,6,A:96;B:151;G:1;L:1;U:74,sumo2_k11_tetrahedral_ube2w,seed-15_sample-3,sumo2_k11_tetrahedral_ube2w/seed-15_sample-3/model.cif,0.6,0.71,0.65,,,,1.467,sumo2_k11_tetrahedral_ube2w,True,seed-15_sample-3
True,4,0.83,1.292,1.803,2.636,B/91,2.636,True,True,UBGT,1.803,330.2,False,1.478,6,A:96;B:151;G:1;L:1;U:74,sumo2_k11_tetrahedral_ube2w,seed-15_sample-4,sumo2_k11_tetrahedral_ube2w/seed-15_sample-4/model.cif,0.57,0.7,0.61,,,,1.478,sumo2_k11_tetrahedral_ube2w,True,seed-15_sample-4
True,4,0.973,1.43,1.796,2.598,B/91,2.598,True,True,UBGT,1.796,329.9,False,1.464,7,A:96;B:151;G:1;L:1;U:74,sumo2_k11_tetrahedral_ube2w,seed-16_sample-0,sumo2_k11_tetrahedral_ube2w/seed-16_sample-0/model.cif,0.63,0.73,0.68,,,,1.464,sumo2_k11_tetrahedral_ube2w,True,seed-16_sample-0
True,4,0.997,1.445,1.802,2.599,B/91,2.599,True,True,UBGT,1.802,329.8,False,1.481,6,A:96;B:151;G:1;L:1;U:74,sumo2_k11_tetrahedral_ube2w,seed-16_sample-1,sumo2_k11_tetrahedral_ube2w/seed-16_sample-1/model.cif,0.63,0.73,0.68,,,,1.481,sumo2_k11_tetrahedral_ube2w,True,seed-16_sample-1
True,4,0.945,1.285,1.782,2.599,B/91,2.599,True,True,UBGT,1.782,330.3,False,1.463,10,A:96;B:151;G:1;L:1;U:74,sumo2_k11_tetrahedral_ube2w,seed-16_sample-2,sumo2_k11_tetrahedral_ube2w/seed-16_sample-2/model.cif,0.61,0.72,0.66,,,,1.463,sumo2_k11_tetrahedral_ube2w,True,seed-16_sample-2
True,4,0.944,1.103,1.826,2.635,B/91,2.635,True,True,UBGT,1.826,329.0,False,1.462,9,A:96;B:151;G:1;L:1;U:74,sumo2_k11_tetrahedral_ube2w,seed-16_sample-3,sumo2_k11_tetrahedral_ube2w/seed-16_sample-3/model.cif,0.61,0.72,0.66,,,,1.462,sumo2_k11_tetrahedral_ube2w,True,seed-16_sample-3
True,4,1.03,1.249,1.811,2.597,B/91,2.597,True,True,UBGT,1.811,330.7,False,1.476,7,A:96;B:151;G:1;L:1;U:74,sumo2_k11_tetrahedral_ube2w,seed-16_sample-4,sumo2_k11_tetrahedral_ube2w/seed-16_sample-4/model.cif,0.63,0.72,0.68,,,,1.476,sumo2_k11_tetrahedral_ube2w,True,seed-16_sample-4
True,4,0.931,1.213,1.802,2.579,B/91,2.579,True,True,UBGT,1.802,328.3,False,1.446,12,A:96;B:151;G:1;L:1;U:74,sumo2_k11_tetrahedral_ube2w,seed-17_sample-0,sumo2_k11_tetrahedral_ube2w/seed-17_sample-0/model.cif,0.64,0.74,0.68,,,,1.446,sumo2_k11_tetrahedral_ube2w,True,seed-17_sample-0
True,4,1.008,1.456,1.805,2.602,B/91,2.602,True,True,UBGT,1.805,329.4,False,1.462,14,A:96;B:151;G:1;L:1;U:74,sumo2_k11_tetrahedral_ube2w,seed-17_sample-1,sumo2_k11_tetrahedral_ube2w/seed-17_sample-1/model.cif,0.66,0.76,0.71,,,,1.462,sumo2_k11_tetrahedral_ube2w,True,seed-17_sample-1
True,4,1.018,1.314,1.785,2.619,B/91,2.619,True,True,UBGT,1.785,329.3,False,1.482,11,A:96;B:151;G:1;L:1;U:74,sumo2_k11_tetrahedral_ube2w,seed-17_sample-2,sumo2_k11_tetrahedral_ube2w/seed-17_sample-2/model.cif,0.62,0.73,0.67,,,,1.482,sumo2_k11_tetrahedral_ube2w,True,seed-17_sample-2
True,4,1.037,1.432,1.815,2.621,B/91,2.621,True,True,UBGT,1.815,329.9,False,1.492,10,A:96;B:151;G:1;L:1;U:74,sumo2_k11_tetrahedral_ube2w,seed-17_sample-3,sumo2_k11_tetrahedral_ube2w/seed-17_sample-3/model.cif,0.64,0.74,0.69,,,,1.492,sumo2_k11_tetrahedral_ube2w,True,seed-17_sample-3
True,4,1.122,1.35,1.818,2.651,B/91,2.651,True,True,UBGT,1.818,329.6,False,1.512,7,A:96;B:151;G:1;L:1;U:74,sumo2_k11_tetrahedral_ube2w,seed-17_sample-4,sumo2_k11_tetrahedral_ube2w/seed-17_sample-4/model.cif,0.61,0.73,0.67,,,,1.512,sumo2_k11_tetrahedral_ube2w,True,seed-17_sample-4
True,4,0.95,1.311,1.794,2.658,B/91,2.658,True,True,UBGT,1.794,328.9,False,1.499,13,A:96;B:151;G:1;L:1;U:74,sumo2_k11_tetrahedral_ube2w,seed-18_sample-0,sumo2_k11_tetrahedral_ube2w/seed-18_sample-0/model.cif,0.59,0.71,0.63,,,,1.499,sumo2_k11_tetrahedral_ube2w,True,seed-18_sample-0
True,4,0.93,1.435,1.79,2.611,B/91,2.611,True,True,UBGT,1.79,330.5,False,1.483,10,A:96;B:151;G:1;L:1;U:74,sumo2_k11_tetrahedral_ube2w,seed-18_sample-1,sumo2_k11_tetrahedral_ube2w/seed-18_sample-1/model.cif,0.62,0.73,0.66,,,,1.483,sumo2_k11_tetrahedral_ube2w,True,seed-18_sample-1
True,4,1.162,1.324,1.862,2.751,B/91,2.751,True,True,UBGT,1.862,329.6,False,1.529,9,A:96;B:151;G:1;L:1;U:74,sumo2_k11_tetrahedral_ube2w,seed-18_sample-2,sumo2_k11_tetrahedral_ube2w/seed-18_sample-2/model.cif,0.59,0.7,0.63,,,,1.529,sumo2_k11_tetrahedral_ube2w,True,seed-18_sample-2
True,4,1.112,1.44,1.779,2.584,B/91,2.584,True,True,UBGT,1.779,327.5,False,1.489,7,A:96;B:151;G:1;L:1;U:74,sumo2_k11_tetrahedral_ube2w,seed-18_sample-3,sumo2_k11_tetrahedral_ube2w/seed-18_sample-3/model.cif,0.58,0.7,0.63,,,,1.489,sumo2_k11_tetrahedral_ube2w,True,seed-18_sample-3
True,4,0.902,1.25,1.781,2.622,B/91,2.622,True,True,UBGT,1.781,330.2,False,1.468,7,A:96;B:151;G:1;L:1;U:74,sumo2_k11_tetrahedral_ube2w,seed-18_sample-4,sumo2_k11_tetrahedral_ube2w/seed-18_sample-4/model.cif,0.58,0.7,0.64,,,,1.468,sumo2_k11_tetrahedral_ube2w,True,seed-18_sample-4
True,4,1.003,1.425,1.791,2.686,B/91,2.686,True,True,UBGT,1.791,327.7,False,1.477,11,A:96;B:151;G:1;L:1;U:74,sumo2_k11_tetrahedral_ube2w,seed-19_sample-0,sumo2_k11_tetrahedral_ube2w/seed-19_sample-0/model.cif,0.64,0.75,0.69,,,,1.477,sumo2_k11_tetrahedral_ube2w,True,seed-19_sample-0
True,4,0.924,1.207,1.784,2.664,B/91,2.664,True,True,UBGT,1.784,327.6,False,1.452,14,A:96;B:151;G:1;L:1;U:74,sumo2_k11_tetrahedral_ube2w,seed-19_sample-1,sumo2_k11_tetrahedral_ube2w/seed-19_sample-1/model.cif,0.63,0.75,0.68,,,,1.452,sumo2_k11_tetrahedral_ube2w,True,seed-19_sample-1
True,4,0.821,1.418,1.782,2.642,B/91,2.642,True,True,UBGT,1.782,328.8,False,1.452,11,A:96;B:151;G:1;L:1;U:74,sumo2_k11_tetrahedral_ube2w,seed-19_sample-2,sumo2_k11_tetrahedral_ube2w/seed-19_sample-2/model.cif,0.66,0.77,0.71,,,,1.452,sumo2_k11_tetrahedral_ube2w,True,seed-19_sample-2
True,4,0.893,1.344,1.764,2.639,B/91,2.639,True,True,UBGT,1.764,327.3,False,1.439,16,A:96;B:151;G:1;L:1;U:74,sumo2_k11_tetrahedral_ube2w,seed-19_sample-3,sumo2_k11_tetrahedral_ube2w/seed-19_sample-3/model.cif,0.62,0.75,0.67,,,,1.439,sumo2_k11_tetrahedral_ube2w,True,seed-19_sample-3
True,4,0.978,1.175,1.789,2.646,B/91,2.646,True,True,UBGT,1.789,329.3,False,1.476,9,A:96;B:151;G:1;L:1;U:74,sumo2_k11_tetrahedral_ube2w,seed-19_sample-4,sumo2_k11_tetrahedral_ube2w/seed-19_sample-4/model.cif,0.64,0.75,0.69,,,,1.476,sumo2_k11_tetrahedral_ube2w,True,seed-19_sample-4
True,4,0.907,1.24,1.791,2.625,B/91,2.625,True,True,UBGT,1.791,328.2,False,1.471,11,A:96;B:151;G:1;L:1;U:74,sumo2_k11_tetrahedral_ube2w,seed-1_sample-0,sumo2_k11_tetrahedral_ube2w/seed-1_sample-0/model.cif,0.64,0.75,0.68,,,,1.471,sumo2_k11_tetrahedral_ube2w,True,seed-1_sample-0
True,4,0.828,1.294,1.783,2.623,B/91,2.623,True,True,UBGT,1.783,328.6,False,1.427,12,A:96;B:151;G:1;L:1;U:74,sumo2_k11_tetrahedral_ube2w,seed-1_sample-1,sumo2_k11_tetrahedral_ube2w/seed-1_sample-1/model.cif,0.65,0.76,0.7,,,,1.427,sumo2_k11_tetrahedral_ube2w,True,seed-1_sample-1
True,4,0.887,1.332,1.782,2.631,B/91,2.631,True,True,UBGT,1.782,328.5,False,1.453,12,A:96;B:151;G:1;L:1;U:74,sumo2_k11_tetrahedral_ube2w,seed-1_sample-2,sumo2_k11_tetrahedral_ube2w/seed-1_sample-2/model.cif,0.65,0.75,0.7,,,,1.453,sumo2_k11_tetrahedral_ube2w,True,seed-1_sample-2
True,4,0.903,1.357,1.795,2.657,B/91,2.657,True,True,UBGT,1.795,328.9,False,1.46,9,A:96;B:151;G:1;L:1;U:74,sumo2_k11_tetrahedral_ube2w,seed-1_sample-3,sumo2_k11_tetrahedral_ube2w/seed-1_sample-3/model.cif,0.66,0.76,0.71,,,,1.46,sumo2_k11_tetrahedral_ube2w,True,seed-1_sample-3
True,4,1.001,1.227,1.789,2.626,B/91,2.626,True,True,UBGT,1.789,328.7,False,1.47,9,A:96;B:151;G:1;L:1;U:74,sumo2_k11_tetrahedral_ube2w,seed-1_sample-4,sumo2_k11_tetrahedral_ube2w/seed-1_sample-4/model.cif,0.63,0.74,0.68,,,,1.47,sumo2_k11_tetrahedral_ube2w,True,seed-1_sample-4
True,4,0.955,1.323,1.798,2.651,B/91,2.651,True,True,UBGT,1.798,330.5,False,1.504,7,A:96;B:151;G:1;L:1;U:74,sumo2_k11_tetrahedral_ube2w,seed-20_sample-0,sumo2_k11_tetrahedral_ube2w/seed-20_sample-0/model.cif,0.62,0.73,0.66,,,,1.504,sumo2_k11_tetrahedral_ube2w,True,seed-20_sample-0
True,4,1.005,1.398,1.807,2.62,B/91,2.62,True,True,UBGT,1.807,329.3,False,1.506,7,A:96;B:151;G:1;L:1;U:74,sumo2_k11_tetrahedral_ube2w,seed-20_sample-1,sumo2_k11_tetrahedral_ube2w/seed-20_sample-1/model.cif,0.64,0.74,0.7,,,,1.506,sumo2_k11_tetrahedral_ube2w,True,seed-20_sample-1
True,4,0.962,1.571,1.806,2.64,B/91,2.64,True,True,UBGT,1.806,329.9,False,1.491,8,A:96;B:151;G:1;L:1;U:74,sumo2_k11_tetrahedral_ube2w,seed-20_sample-2,sumo2_k11_tetrahedral_ube2w/seed-20_sample-2/model.cif,0.64,0.73,0.69,,,,1.491,sumo2_k11_tetrahedral_ube2w,True,seed-20_sample-2
True,4,0.989,1.331,1.817,2.626,B/91,2.626,True,True,UBGT,1.817,330.4,False,1.463,7,A:96;B:151;G:1;L:1;U:74,sumo2_k11_tetrahedral_ube2w,seed-20_sample-3,sumo2_k11_tetrahedral_ube2w/seed-20_sample-3/model.cif,0.61,0.72,0.66,,,,1.463,sumo2_k11_tetrahedral_ube2w,True,seed-20_sample-3
True,4,0.93,1.476,1.814,2.622,B/91,2.622,True,True,UBGT,1.814,330.0,False,1.482,6,A:96;B:151;G:1;L:1;U:74,sumo2_k11_tetrahedral_ube2w,seed-20_sample-4,sumo2_k11_tetrahedral_ube2w/seed-20_sample-4/model.cif,0.61,0.71,0.65,,,,1.482,sumo2_k11_tetrahedral_ube2w,True,seed-20_sample-4
True,4,0.949,1.253,1.787,2.606,B/91,2.606,True,True,UBGT,1.787,330.9,False,1.468,8,A:96;B:151;G:1;L:1;U:74,sumo2_k11_tetrahedral_ube2w,seed-2_sample-0,sumo2_k11_tetrahedral_ube2w/seed-2_sample-0/model.cif,0.63,0.73,0.68,,,,1.468,sumo2_k11_tetrahedral_ube2w,True,seed-2_sample-0
True,4,0.89,1.346,1.775,2.552,B/91,2.552,True,True,UBGT,1.775,329.9,False,1.454,11,A:96;B:151;G:1;L:1;U:74,sumo2_k11_tetrahedral_ube2w,seed-2_sample-1,sumo2_k11_tetrahedral_ube2w/seed-2_sample-1/model.cif,0.63,0.73,0.68,,,,1.454,sumo2_k11_tetrahedral_ube2w,True,seed-2_sample-1
True,4,1.029,1.325,1.806,2.619,B/91,2.619,True,True,UBGT,1.806,329.7,False,1.482,11,A:96;B:151;G:1;L:1;U:74,sumo2_k11_tetrahedral_ube2w,seed-2_sample-2,sumo2_k11_tetrahedral_ube2w/seed-2_sample-2/model.cif,0.63,0.74,0.67,,,,1.482,sumo2_k11_tetrahedral_ube2w,True,seed-2_sample-2
True,4,0.976,1.286,1.791,2.592,B/91,2.592,True,True,UBGT,1.791,330.8,False,1.478,7,A:96;B:151;G:1;L:1;U:74,sumo2_k11_tetrahedral_ube2w,seed-2_sample-3,sumo2_k11_tetrahedral_ube2w/seed-2_sample-3/model.cif,0.62,0.72,0.67,,,,1.478,sumo2_k11_tetrahedral_ube2w,True,seed-2_sample-3
True,4,0.966,1.481,1.783,2.571,B/91,2.571,True,True,UBGT,1.783,330.1,False,1.471,7,A:96;B:151;G:1;L:1;U:74,sumo2_k11_tetrahedral_ube2w,seed-2_sample-4,sumo2_k11_tetrahedral_ube2w/seed-2_sample-4/model.cif,0.62,0.72,0.67,,,,1.471,sumo2_k11_tetrahedral_ube2w,True,seed-2_sample-4
True,4,0.974,1.309,1.798,2.577,B/91,2.577,True,True,UBGT,1.798,330.8,False,1.483,6,A:96;B:151;G:1;L:1;U:74,sumo2_k11_tetrahedral_ube2w,seed-3_sample-0,sumo2_k11_tetrahedral_ube2w/seed-3_sample-0/model.cif,0.63,0.73,0.68,,,,1.483,sumo2_k11_tetrahedral_ube2w,True,seed-3_sample-0
True,4,0.957,1.306,1.818,2.637,B/91,2.637,True,True,UBGT,1.818,329.1,False,1.492,8,A:96;B:151;G:1;L:1;U:74,sumo2_k11_tetrahedral_ube2w,seed-3_sample-1,sumo2_k11_tetrahedral_ube2w/seed-3_sample-1/model.cif,0.62,0.72,0.66,,,,1.492,sumo2_k11_tetrahedral_ube2w,True,seed-3_sample-1
True,4,1.004,1.418,1.806,2.625,B/91,2.625,True,True,UBGT,1.806,329.5,False,1.483,12,A:96;B:151;G:1;L:1;U:74,sumo2_k11_tetrahedral_ube2w,seed-3_sample-2,sumo2_k11_tetrahedral_ube2w/seed-3_sample-2/model.cif,0.66,0.76,0.71,,,,1.483,sumo2_k11_tetrahedral_ube2w,True,seed-3_sample-2
True,4,0.782,1.201,1.796,2.661,B/91,2.661,True,True,UBGT,1.796,327.6,False,1.454,8,A:96;B:151;G:1;L:1;U:74,sumo2_k11_tetrahedral_ube2w,seed-3_sample-3,sumo2_k11_tetrahedral_ube2w/seed-3_sample-3/model.cif,0.61,0.72,0.66,,,,1.454,sumo2_k11_tetrahedral_ube2w,True,seed-3_sample-3
True,4,0.916,1.391,1.803,2.616,B/91,2.616,True,True,UBGT,1.803,330.0,False,1.463,8,A:96;B:151;G:1;L:1;U:74,sumo2_k11_tetrahedral_ube2w,seed-3_sample-4,sumo2_k11_tetrahedral_ube2w/seed-3_sample-4/model.cif,0.61,0.72,0.67,,,,1.463,sumo2_k11_tetrahedral_ube2w,True,seed-3_sample-4
True,4,0.871,1.436,1.801,2.627,B/91,2.627,True,True,UBGT,1.801,328.8,False,1.454,8,A:96;B:151;G:1;L:1;U:74,sumo2_k11_tetrahedral_ube2w,seed-4_sample-0,sumo2_k11_tetrahedral_ube2w/seed-4_sample-0/model.cif,0.64,0.74,0.68,,,,1.454,sumo2_k11_tetrahedral_ube2w,True,seed-4_sample-0
